iter	Passed	Remaining
294	636	1521
295	638	1517
296	639	1513
297	641	1510
298	642	1506
299	644	1503
300	646	1501
301	649	1501
302	651	1498
303	652	1494
304	654	1490
305	655	1487
306	657	1483
307	658	1479
308	659	1475
309	661	1473
310	665	1473
311	667	1472
312	669	1469
313	670	1465
314	672	1463
315	674	1460
316	676	1456
317	679	1457
318	681	1454
319	682	1451
320	684	1447
321	685	1443
322	687	1440
323	688	1436
324	690	1434
325	693	1433
326	695	1431
327	697	1428
328	698	1424
329	700	1421
330	702	1419
331	703	1416
332	705	1412
333	706	1409
334	710	1409
335	711	1406
336	713	1403
337	714	1400
338	716	1397
339	718	1394
340	719	1390
341	721	1387
342	723	1386
343	725	1383
344	727	1380
345	728	1377
346	730	1374
347	732	1371
348	733	1368
349	736	1367
350	739	1367
351	740	1363
352	742	1360
353	743	1357
354	745	1354
355	747	1351
356	748	1348
357	750	1345
358	754	1347
359	756	1344
360	757	1340
361	758	1337
362	760	1334
363	762	1332
364	763	1328
365	765	1325
366	767	1324
367	769	1321
368	771	1318
369	772	1316
370	774	1313
371	776	1311
372	778	1307
373	779	1305
374	781	1301
375	783	1300
376	785	1297
377	787	1295
378	788	1291
379	789	1288
380	791	1286
381	793	1283
382	794	1280
383	798	1280
384	800	1278
385	802	1276
386	803	1273
387	805	1270
388	807	1267
389	808	1265
390	810	1262
391	814	1263
392	817	1262
393	819	1260
394	821	1258
395	823	1255
396	824	1252
397	826	1249
398	829	1249
399	831	1247
400	833	1245
401	835	1242
402	837	1239
403	838	1237
404	839	1233
405	841	1230
406	844	1231
407	846	1228
408	848	1226
409	850	1223
410	851	1220
411	853	1218
412	855	1215
413	860	1217
414	862	1216
415	865	1214
416	866	1211
417	869	1210
418	871	1208
419	875	1208
420	876	1205
421	878	1203
422	880	1200
423	881	1197
424	883	1195
425	884	1192
426	886	1189
427	889	1189
428	891	1186
429	892	1183
430	894	1180
431	896	1178
432	897	1175
433	899	1173
434	901	1170
435	904	1170
436	906	1167
437	907	1164
438	909	1161
439	910	1158
440	912	1156
441	913	1153
442	915	1151
443	916	1147
444	919	1146
445	920	1143
446	921	1140
447	925	1140
448	927	1138
449	929	1135
450	931	1133
451	935	1133
452	936	1131
453	939	1129
454	942	1129
